Project,Epic,Epic_Summary,Num_Teams,Total_Hours,Complexity_Score,Complexity_Level
SRLK,SRLK-268,Phase 2 Integration Features ,2,34.00,7.11,Low
BIGO,BIGO-28,Design Ideation phase,2,32.50,7.02,Low
BMBY,BMBY-14,Header,2,32.25,7.01,Low
BIGO,BIGO-113,Design Prototyping and Refinement,2,31.00,6.93,Low
BMBY,BMBY-15,Footer,2,28.25,6.75,Low
SRLK,SRLK-255,Returns & Refunds,2,28.25,6.75,Low
SRLK,SRLK-24,Cart,2,23.00,6.36,Low
BIGO,BIGO-38,Globals,2,21.00,6.18,Low
SRLK,SRLK-22,PDP Upsells,2,20.50,6.14,Low
BMBY,BMBY-86,Components,2,20.00,6.09,Low
SRLK,SRLK-57,Gift Card Integration,2,19.22,6.01,Low
BIGO,BIGO-349,Strategy ,2,18.50,5.94,Low
SRLK,No Epic,,2,17.00,5.78,Low
BIGO,BIGO-25,3rd Party apps,3,5.75,5.73,Low
SRLK,SRLK-21,PDP Details,2,15.75,5.64,Low
SRLK,SRLK-38,Emails,2,15.75,5.64,Low
SRLK,SRLK-29,Brands,3,5.25,5.50,Low
BMBY,BMBY-21,PDP Details,2,14.25,5.45,Low
SRLK,SRLK-154,Wishlist,2,14.00,5.42,Low
BMBY,BMBY-32,Registry,2,13.50,5.35,Low
SRLK,SRLK-19,Search,2,11.75,5.09,Low
SRLK,SRLK-18,Mega Menu,2,9.25,4.65,Low
BMBY,BMBY-23,Cart,2,8.25,4.45,Low
BIGO,BIGO-317,Product Bundles,2,7.50,4.28,Low
SRLK,SRLK-32,Order Integration,1,48.00,3.89,Low
SRLK,SRLK-132,Reviews,2,5.75,3.82,Low
SRLK,SRLK-136,Instagram Section,2,5.50,3.74,Low
BMBY,BMBY-147,Store Attribution,2,4.25,3.32,Low
BMBY,BMBY-37,Brands,2,3.50,3.01,Low
BMBY,BMBY-35,Analytics,1,18.50,2.97,Low
BMBY,BMBY-22,PDP Upsells & Cross Sells,1,14.00,2.71,Low
BMBY,BMBY-25,Blog,1,13.75,2.69,Low
BMBY,BMBY-24,BOPIS / Locations,1,11.75,2.55,Low
BIGO,BIGO-153,Design cart/mini cart,2,2.25,2.36,Low
BMBY,BMBY-28,Reviews,1,9.25,2.33,Low
BMBY,BMBY-19,Quick View,1,8.50,2.25,Low
BMBY,BMBY-16,Mega Menu,1,7.75,2.17,Low
BMBY,BMBY-29,Emails,1,5.75,1.91,Low
BIGO,BIGO-118,CI & Deployment,1,3.00,1.39,Low
BIGO,BIGO-173,UAT | PDP,1,2.75,1.32,Low
BMBY,BMBY-132,Launch Set Up,1,2.00,1.10,Low
BMBY,BMBY-90,Account,1,1.75,1.01,Low
BMBY,BMBY-91,3rd Party Apps,1,1.75,1.01,Low
BIGO,BIGO-165,UAT | PLP,1,1.50,0.92,Low
SRLK,SRLK-212,Pages,1,1.50,0.92,Low
BMBY,No Epic,,1,1.25,0.81,Low
BIGO,BIGO-193,UAT | Global Site Functionality,1,0.75,0.56,Low
BMBY,BMBY-33,Buy Now Pay Later,1,0.75,0.56,Low
BIGO,BIGO-194,UAT | Homepage Sections,1,0.50,0.41,Low
BIGO,BIGO-253,UAT | Discounts/Promotions,1,0.50,0.41,Low
BIGO,BIGO-155,Analytics & SEO,1,0.25,0.22,Low
SRLK,SRLK-25,Checkout,1,0.25,0.22,Low
SRLK,SRLK-26,Shipping,1,0.25,0.22,Low
SRLK,SRLK-33,User Migration,1,0.25,0.22,Low
SRLK,SRLK-35,User Integration,1,0.25,0.22,Low
